--,aud,btc,cad,chf,cny,eur,gbp,hkd,jpy,usd
aud,1,2.4E-5,0.908249,0.612278,4.650936,0.616774,0.541191,5.306813,88.932639,0.676057
btc,42257.241551,1,38380.112142,25873.184229,196535.711023,26063.158592,22869.222759,224251.299933,3758048.010163,28568.323332
cad,1.101019,2.6E-5,1,0.67413,5.12077,0.67908,0.595861,5.842904,97.916546,0.744352
chf,1.633245,3.9E-5,1.483393,1,7.596116,1.007343,0.883897,8.667325,145.248763,1.104167
cny,0.214328,5.0E-6,0.195327,0.132801,1,0.13343,0.117177,1.141103,19.286451,0.145385
eur,1.606301,3.9E-5,1.463896,0.995288,7.494579,1,0.878194,8.552089,144.543828,1.089598
gbp,1.829096,4.5E-5,1.666939,1.133335,8.534081,1.138701,1,9.738269,164.592138,1.240726
hkd,0.188437,4.0E-6,0.171148,0.115376,0.876408,0.116223,0.10198,1,16.758199,0.127394
jpy,0.011244,0,0.010213,0.006885,0.052297,0.006935,0.006085,0.059672,1,0.007602
usd,1.474214,3.6E-5,1.343519,0.913445,6.878297,0.91777,0.80598,7.848848,132.657942,1
