--,aud,brl,btc,cad,chf,cny,eur,gbp,hkd,inr,jpy,krw,mxn,nok,nzd,sek,sgd,twd,usd,zar
aud,1,3.507126,2.7E-5,0.913817,0.610218,4.586655,0.621947,0.549107,5.239377,54.93924,89.725966,871.244214,12.438176,7.04342,1.071458,6.989819,0.898224,20.407497,0.66749,12.115505
brl,0.285134,1,8.0E-6,0.26056,0.173994,1.30781,0.177338,0.156569,1.493923,15.66503,25.583899,248.421114,3.546544,2.008317,0.305509,1.993033,0.256114,5.818866,0.190324,3.454539
btc,37353.885536,131004.793208,1,34134.608214,22794.026051,171329.395424,23232.137704,20511.282664,195711.082534,2052194.063994,3351613.455701,32544356.632643,464614.201778,263099.103978,40023.118765,261096.911887,33552.15529,762299.291174,24933.334219,452561.18288
cad,1.094311,3.837888,2.9E-5,1,0.667769,5.019228,0.680604,0.600894,5.733509,60.120627,98.188133,953.412338,13.611236,7.707694,1.172509,7.649038,0.982937,22.332153,0.730441,13.258133
chf,1.619316,5.678607,4.4E-5,1.47678,1,7.41614,1.013669,0.88918,8.427769,88.837334,143.021776,1408.425677,20.359565,11.538725,1.739633,11.371553,1.450619,32.903299,1.073744,19.740959
cny,0.218024,0.764637,6.0E-6,0.199234,0.133042,1,0.135599,0.119718,1.142309,11.978062,19.562396,189.951973,2.711818,1.535633,0.233603,1.523947,0.195834,4.44932,0.145529,2.641468
eur,1.607854,5.638947,4.3E-5,1.469284,0.981142,7.374672,1,0.882884,8.424153,88.334276,144.266253,1400.833494,19.998771,11.324791,1.722748,11.238609,1.444213,32.812275,1.073226,19.479963
gbp,1.821138,6.386963,4.9E-5,1.664187,1.111292,8.352934,1.132652,1,9.541631,100.051962,163.403406,1586.656338,22.651641,12.827043,1.951273,12.729429,1.63579,37.164877,1.215591,22.064012
hkd,0.192141,0.673797,5.0E-6,0.175228,0.118655,0.879965,0.120277,0.105506,1,10.541026,16.9703,167.117252,2.415771,1.369132,0.206417,1.349296,0.172124,3.904153,0.127406,2.342371
inr,0.018202,0.063836,0,0.016633,0.011107,0.083486,0.011321,0.009995,0.095367,1,1.633185,15.858323,0.226399,0.128204,0.019503,0.127228,0.016349,0.371456,0.01215,0.220526
jpy,0.011322,0.039704,0,0.010326,0.006992,0.051853,0.007088,0.006217,0.058926,0.621146,1,9.847631,0.142353,0.080678,0.012163,0.079509,0.010143,0.230058,0.007508,0.138028
krw,0.001148,0.004025,0,0.001049,0.0007,0.005264,0.000714,0.00063,0.006014,0.063058,0.102986,1,0.014276,0.008084,0.00123,0.008023,0.001031,0.023423,0.000766,0.013906
mxn,0.080398,0.281965,2.0E-6,0.073469,0.04906,0.368756,0.050003,0.044147,0.421234,4.416985,7.213756,70.045979,1,0.566274,0.086143,0.561965,0.072215,1.640715,0.053665,0.974058
nok,0.141976,0.497929,4.0E-6,0.12974,0.086637,0.651197,0.088302,0.07796,0.743868,7.80008,12.738977,123.69619,1.765928,1,0.152122,0.99239,0.127527,2.897385,0.094768,1.720117
nzd,0.933308,3.273228,2.5E-5,0.852872,0.569521,4.280761,0.580468,0.512486,4.889951,51.275216,83.741936,813.138947,11.608646,6.573678,1,6.523652,0.838319,19.046474,0.622973,11.307494
sek,0.143065,0.501748,4.0E-6,0.130735,0.087301,0.656191,0.088979,0.078558,0.749573,7.859894,12.836664,124.64474,1.77947,1.007668,0.153288,1,0.128505,2.919603,0.095495,1.733307
sgd,1.116294,3.914611,3.1E-5,1.018035,0.689361,5.112398,0.698784,0.612966,5.809776,61.241001,98.593646,970.913847,14.035092,7.954348,1.199235,7.839106,1,22.682254,0.740198,13.608649
twd,0.049002,0.171855,1.0E-6,0.044778,0.029902,0.224753,0.030476,0.026907,0.256738,2.692111,4.396716,42.692361,0.609491,0.345139,0.052503,0.342512,0.044014,1,0.032708,0.593679
usd,1.49815,5.254203,4.0E-5,1.369035,0.914199,6.8715,0.93177,0.822645,7.849375,82.307246,134.422995,1305.254899,18.634259,10.552103,1.605205,10.471801,1.345675,30.5735,1,18.150849
zar,0.082028,0.287656,2.0E-6,0.074808,0.050656,0.375673,0.051349,0.045042,0.426918,4.500153,7.244925,71.345353,1.031336,0.584507,0.088123,0.576039,0.073483,1.666753,0.054392,1
